1,夜行,森見登美彦
2,ホワイトラビット,伊坂幸太郎
3,らせん階段,エセル・リナ・ホワイト
4,四畳半神話大系,森見登美彦
5,夜は短し歩けよ乙女,森見登美彦
6,夜のピクニック,恩田陸
7,玩具修理者,小林泰三
